Category,Module,Feature,Model Evidence,API Evidence,UI Evidence,Status,Score,Tier,MES_Tier,QT9,1Factory,ProShop,Qualio,Prodio,Steelhead,MachineMetrics,Redzone,Amper,TrakSYS,PlanetTogether,CriticalMfg,Opcenter,Plex,DELMIA,Notes
QMS,3D Visualization,Upload 3D models,ThreeDModel model,CRUD /api/ThreeDModels/,ThreeDModelsEditorPage,Complete,100%,Differentiator,Premium,No,No,No,No,No,No,No,No,No,No,No,Partial,No,No,Yes,DIFFERENTIATOR
QMS,3D Visualization,View 3D models,File serving,File download,three-d-model-viewer.tsx,Complete,100%,Differentiator,Premium,No,No,No,No,No,No,No,No,No,No,No,Partial,No,No,Yes,DIFFERENTIATOR
QMS,3D Visualization,Defect annotations,HeatMapAnnotations model,CRUD /api/HeatMapAnnotation/,PartAnnotator,Complete,100%,Differentiator,Premium,No,No,No,No,No,No,No,No,No,No,No,Partial,No,No,Yes,DIFFERENTIATOR
QMS,3D Visualization,Heatmap visualization,HeatMapAnnotations with position/severity,Annotation data,HeatMapViewer,Complete,100%,Differentiator,Premium,No,No,No,No,No,No,No,No,No,No,No,Partial,No,No,Yes,DIFFERENTIATOR
QMS,3D Visualization,Link to quality reports,quality_reports M2M field,Report linkage,Links in annotation,Complete,100%,Differentiator,Premium,No,No,No,No,No,No,No,No,No,No,No,Partial,No,No,Yes,DIFFERENTIATOR
QMS,Quarantine,Quarantine dispositions,QuarantineDisposition model,CRUD /api/QuarantineDispositions/,QaQuarantinePage,Complete,100%,Core,Lite,Yes,Yes,Yes,Partial,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,
QMS,Quarantine,Disposition types,disposition_type field (REWORK/SCRAP/USE_AS_IS/RETURN),Type selection,Disposition picker,Complete,100%,Core,Lite,Yes,Yes,Yes,Partial,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,
QMS,Quarantine,Disposition workflow,current_state field (OPEN/IN_PROGRESS/CLOSED),State transitions,State indicator,Complete,100%,Core,Lite,Yes,Yes,Yes,Partial,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,
QMS,Quarantine,Resolution tracking,resolution_notes + resolution_completed fields,Resolution updates,Resolution form,Complete,100%,Core,Lite,Yes,Yes,Yes,Partial,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,
QMS,Quarantine,Auto part status update,Signal updates part_status,Automatic via save,N/A - automatic,Complete,100%,Differentiator,Standard,Partial,Yes,Yes,No,No,Partial,No,No,No,Yes,No,Yes,Yes,Yes,Yes,
QMS,Quarantine,Rework tracking,rework_attempt_at_step + total_rework_count,Counter tracking,Rework count shown,Complete,100%,Standard,Standard,Partial,Yes,Yes,Partial,No,Partial,No,No,No,Yes,No,Yes,Yes,Yes,Yes,
QMS,Error Types,Error type catalog,QualityErrorsList model,CRUD /api/Error-types/,ErrorTypeEditorPage,Complete,100%,Core,Lite,Yes,Yes,Yes,Partial,No,Partial,Partial,Yes,No,Yes,No,Yes,Yes,Yes,Yes,
QMS,Error Types,Error examples,error_example field,Example text,Example display,Complete,100%,Standard,Standard,Yes,Yes,Partial,Partial,No,Partial,Partial,Yes,No,Yes,No,Yes,Yes,Yes,Yes,
QMS,Error Types,Part type scoping,part_type FK,Filtering by part type,Part type filter,Complete,100%,Standard,Standard,Partial,Yes,Partial,No,No,Partial,Partial,Yes,No,Yes,No,Yes,Yes,Yes,Yes,
QMS,Error Types,3D annotation requirement,requires_3d_annotation flag,Flag in response,Flag indicator,Complete,100%,Differentiator,Premium,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DIFFERENTIATOR
QMS,AI Assistant,Document search,Embeddings + search logic,POST /api/embeddings/vector-search/ and hybrid-search/,AiChatPage,Complete,100%,Differentiator,Premium,No,No,No,No,No,Partial,Partial,Partial,Partial,Partial,No,Yes,Partial,Partial,Partial,DIFFERENTIATOR
QMS,AI Assistant,Document query,Query endpoint,POST /api/embeddings/keyword-search/,AiChatPage,Complete,100%,Differentiator,Premium,No,No,No,No,No,Partial,Partial,Partial,Partial,Partial,No,Yes,Partial,Partial,Partial,DIFFERENTIATOR
QMS,AI Assistant,Document embeddings,DocChunk model with vectors,POST /api/embeddings/embed-query/,Automatic on upload,Complete,100%,Differentiator,Premium,No,No,No,No,No,Partial,Partial,Partial,Partial,Partial,No,Yes,Partial,Partial,Partial,DIFFERENTIATOR
QMS,Reports,PDF generation,GeneratedReport model + PdfGenerator service,POST /api/reports/generate/,Report buttons in UI,Complete,100%,Core,Standard,Yes,Yes,Yes,Yes,No,Partial,No,Partial,No,Yes,Partial,Yes,Yes,Yes,Yes,
QMS,Reports,Email reports,Email integration in task,Automatic with generation,N/A - automatic,Complete,100%,Standard,Standard,Yes,Yes,Yes,Yes,No,Partial,No,Partial,No,Yes,Partial,Yes,Yes,Yes,Yes,
QMS,Reports,Report history,GeneratedReport tracking,GET /api/reports/history/,Report history view,Complete,90%,Standard,Standard,Partial,Partial,Yes,Partial,No,Partial,No,Partial,No,Yes,Partial,Yes,Yes,Yes,Yes,
QMS,Reports,Report types config,REPORT_CONFIG in PdfGenerator,GET /api/reports/types/,Report type selection,Complete,100%,Standard,Standard,Yes,Yes,Yes,Partial,No,Partial,No,Partial,No,Yes,Partial,Yes,Yes,Yes,Yes,
QMS,Audit Trail,Model change history,Django Auditlog integration,GET /api/auditlog/,AuditTrail.tsx,Complete,100%,Core,Lite,Yes,Yes,Yes,Yes,No,Partial,Partial,Yes,No,Yes,No,Yes,Yes,Yes,Yes,
QMS,Audit Trail,Permission change log,PermissionChangeLog model,Logged on changes,History viewable,Complete,100%,Differentiator,Pro,Partial,Partial,Partial,Partial,No,No,No,Partial,No,Partial,No,Yes,Yes,Yes,Yes,DIFFERENTIATOR
QMS,Training Records,Training types catalog,TrainingType model,CRUD /api/TrainingTypes/,TrainingTypesPage + EditTrainingTypeFormPage,Complete,100%,Standard,Pro,Yes,Yes,Yes,Yes,No,Partial,No,Yes,No,Yes,No,Yes,Yes,Yes,Partial,Full CRUD with validity_period_days
QMS,Training Records,Training records,TrainingRecord model with user + training_type + dates,CRUD /api/TrainingRecords/,TrainingRecordsPage + EditTrainingRecordFormPage,Complete,100%,Standard,Pro,Yes,Yes,Yes,Yes,No,Partial,No,Yes,No,Yes,No,Yes,Yes,Yes,Partial,Full CRUD with expiration tracking
QMS,Training Records,Training requirements,TrainingRequirement model linking to Step/Process/EquipmentType,CRUD /api/TrainingRequirements/,TrainingTypesPage,Complete,100%,Standard,Pro,Yes,Partial,Yes,Yes,No,Partial,No,Yes,No,Yes,No,Yes,Yes,Yes,Partial,Scope constraints implemented
QMS,Training Records,Training status tracking,is_current + status properties on TrainingRecord,GET /api/TrainingRecords/ with status,TrainingDashboardPage,Complete,100%,Standard,Pro,Yes,Yes,Yes,Yes,No,Partial,No,Yes,No,Yes,No,Yes,Yes,Yes,Partial,current/expiring_soon/expired status displayed
QMS,Calibration,Calibration records,CalibrationRecord model with full fields,CRUD /api/CalibrationRecords/,CalibrationRecordsPage + EditCalibrationRecordFormPage,Complete,100%,Standard,Pro,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Partial,Full CRUD with result/type/traceability
QMS,Calibration,Calibration due dates,due_date field + status/days_until_due properties,GET /api/CalibrationRecords/ with status,CalibrationDashboardPage,Complete,100%,Standard,Pro,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Partial,overdue/due_soon/current status displayed
QMS,Calibration,Calibration traceability,certificate_number + standards_used + as_found fields,Included in CalibrationRecord response,CalibrationRecordsPage,Complete,100%,Standard,Pro,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Partial,ISO 9001 traceability support
QMS,Calibration,Affected parts lookup,get_affected_parts method on CalibrationRecord,GET /api/CalibrationRecords/{id}/affected-parts/,CalibrationRecordsPage,Complete,90%,Standard,Premium,Partial,Yes,Partial,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Partial,Parts inspected during calibration period
QMS,Customer Complaints,Complaint intake,CAPA with capa_type=CUSTOMER_COMPLAINT,POST /api/CAPAs/ with type,CreateCapaPage,Partial,50%,Standard,Pro,Yes,Partial,Partial,Yes,No,No,No,Partial,No,Yes,No,Partial,Yes,Yes,Partial,Handled via CAPA-CC - no separate intake form
QMS,Customer Complaints,Complaint workflow,Full CAPA workflow applies,CAPA endpoints,CAPA UI,Partial,70%,Standard,Pro,Yes,Partial,Partial,Yes,No,No,No,Partial,No,Yes,No,Partial,Yes,Yes,Partial,Uses CAPA workflow - no complaint-specific SLAs
QMS,Customer Complaints,Complaint resolution,CAPA verification + closure,CAPA endpoints,CAPA UI,Partial,60%,Standard,Pro,Yes,Partial,Partial,Yes,No,No,No,Partial,No,Yes,No,Partial,Yes,Yes,Partial,Via CAPA - no complaint trending
QMS,Risk Management,FMEA,Missing,Missing,Missing,Missing,0%,Stretch,Enterprise,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,GAP - 1Factory has auto-PFMEA
QMS,Risk Management,Risk register,Missing,Missing,Missing,Missing,0%,Stretch,Enterprise,Yes,Partial,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,GAP
QMS,Audit Management,Audit scheduling,Missing,Missing,Missing,Missing,0%,Standard,Pro,Yes,Partial,Yes,Yes,No,Partial,No,Partial,No,No,No,No,Yes,Yes,Yes,GAP
QMS,Audit Management,Audit findings tracking,Missing,Missing,Missing,Missing,0%,Standard,Pro,Yes,Partial,Yes,Yes,No,Partial,No,Partial,No,No,No,No,Yes,Yes,Yes,GAP
QMS,Supplier Quality,Supplier scorecards,Missing,Missing,Missing,Missing,0%,Stretch,Enterprise,Yes,Partial,Partial,Yes,No,No,No,No,No,No,No,Partial,Yes,Yes,Partial,GAP
QMS,Supplier Quality,Supplier audits,Missing,Missing,Missing,Missing,0%,Stretch,Enterprise,Yes,Partial,Partial,Yes,No,No,No,No,No,No,No,Partial,Yes,Yes,Partial,GAP
QMS,PPAP,1. Design Records,Documents model with versioning,CRUD /api/Documents/,DocumentsEditorPage,Complete,100%,Stretch,Pro,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Partial,Yes,Yes,Yes,Element 1 - drawings/specs storage
QMS,PPAP,2. Engineering Change Documents,Document revisions exist,POST /api/Documents/{id}/revise/,document-revision-modal,Partial,60%,Stretch,Pro,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Partial,Element 2 - no formal ECN workflow
QMS,PPAP,3. Customer Engineering Approval,Missing,Missing,Missing,Missing,0%,Stretch,Pro,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Partial,GAP - no customer approval tracking
QMS,PPAP,4. Design FMEA,Can store as document,Document upload,DocumentsEditorPage,Partial,30%,Stretch,Enterprise,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Partial,Element 4 - no RPN tracking
